generador-1  | [CACHÉ MISS] BRAGA → 2 eventos desde MongoDB (69 ms)
generador-1  | Hit rate: 45.77% (92/201)
generador-1  | [CACHÉ HIT] BRAGA → 2 eventos (2 ms)
generador-1  | Hit rate: 46.04% (93/202)
generador-1  | [CACHÉ HIT] Estación Central → 5 eventos (2 ms)
generador-1  | Hit rate: 46.31% (94/203)
generador-1  | [CACHÉ MISS] Providencia → 5 eventos desde MongoDB (3 ms)
generador-1  | Hit rate: 46.08% (94/204)
generador-1  | [CACHÉ MISS] Santiago → 5 eventos desde MongoDB (7 ms)
generador-1  | Hit rate: 45.85% (94/205)
generador-1  | [CACHÉ HIT] BRAGA → 2 eventos (4 ms)
generador-1  | Hit rate: 46.12% (95/206)
generador-1  | [CACHÉ HIT] Santiago → 5 eventos (6 ms)
generador-1  | Hit rate: 46.38% (96/207)
generador-1  | [CACHÉ HIT] BRAGA → 2 eventos (2 ms)
generador-1  | Hit rate: 46.63% (97/208)
generador-1  | [CACHÉ HIT] Providencia → 5 eventos (2 ms)
generador-1  | Hit rate: 46.89% (98/209)
generador-1  | [CACHÉ MISS] Lo Prado → 5 eventos desde MongoDB (5 ms)
generador-1  | Hit rate: 46.67% (98/210)
generador-1  | [CACHÉ HIT] Estación Central → 5 eventos (2 ms)
generador-1  | Hit rate: 46.92% (99/211)
generador-1  | [CACHÉ HIT] Providencia → 5 eventos (2 ms)
generador-1  | Hit rate: 47.17% (100/212)
generador-1  | [CACHÉ HIT] Providencia → 5 eventos (2 ms)
generador-1  | Hit rate: 47.42% (101/213)
generador-1  | [CACHÉ MISS] Renca → 1 eventos desde MongoDB (46 ms)
generador-1  | Hit rate: 47.20% (101/214)
generador-1  | [CACHÉ MISS] Santiago → 5 eventos desde MongoDB (8 ms)
generador-1  | Hit rate: 46.98% (101/215)
generador-1  | [CACHÉ HIT] Santiago → 5 eventos (4 ms)
generador-1  | Hit rate: 47.22% (102/216)
generador-1  | [CACHÉ HIT] Renca → 1 eventos (3 ms)
generador-1  | Hit rate: 47.47% (103/217)
generador-1  | [CACHÉ HIT] Estación Central → 5 eventos (2 ms)
generador-1  | Hit rate: 47.71% (104/218)
generador-1  | [CACHÉ MISS] Independencia → 5 eventos desde MongoDB (4 ms)
generador-1  | Hit rate: 47.49% (104/219)
generador-1  | [CACHÉ MISS] Salindres → 2 eventos desde MongoDB (42 ms)
generador-1  | Hit rate: 47.27% (104/220)
generador-1  | [CACHÉ MISS] Ñuñoa → 5 eventos desde MongoDB (9 ms)
generador-1  | Hit rate: 47.06% (104/221)
generador-1  | [CACHÉ MISS] Quinta Normal → 5 eventos desde MongoDB (3 ms)
generador-1  | Hit rate: 46.85% (104/222)
generador-1  | [CACHÉ MISS] Renca → 1 eventos desde MongoDB (44 ms)
generador-1  | Hit rate: 46.64% (104/223)
generador-1  | [CACHÉ HIT] Ñuñoa → 5 eventos (3 ms)
